no_fish_caught,unidentified_species,no_fish_caught_2,fish_unidentified_species,angling,beaver_dam,id,name,code
No Mussel (Freshwater General)  Found,Unidentifiable Trout - only fry <70mm in length,Fish Unidentified Species,American Shad,angler report,crossing (general),7206,A Rocha Canada,C3783
Unidentified Species,American Shad,American Shad,Blotched Snakehead,boat,bridge,5904,Aarde Environmental Ltd.,C2524
Unidentifiable Trout - only fry <70mm in length,Arctic Char,Blotched Snakehead,Burbot,boat electrofishing,cascade or Chute,936,Acres Consulting,C061
American Shad,Arctic Cisco,Burbot,Goldeye,creel census,canyon,7128,Advisian,C3705
Arctic Char,Arctic Grayling,Goldeye,Oriental Weatherfish,dead capture,conduit,5225,AECOM Canada Ltd.,C1845
Arctic Cisco,Atlantic Salmon,Oriental Weatherfish,Northern Pike,dip netting,culvert,7212,Alaska Department of Fish and Game,C3789
Arctic Grayling,Bass/Sunfish (General),Northern Pike,Shiner Perch,electrofishing,dam (general),7257,Alces Environmental Ltd.,C3834
Atlantic Salmon,Black Bullhead,Shiner Perch,Signal Crayfish,fish weir,dewatering,7242,Allnorth Consultants Limited,C3819
Bass/Sunfish (General),Black Crappie,Signal Crayfish,Starry Flounder,gill netting,ditch/diversion channel,,Allouette River Mnagement Society,New
Black Bullhead,Bluegill,Starry Flounder,Trout Perch,hydraulic sampling,enhancement (general unspecified),4240,AMEC Earth and Environmental,C860
Black Crappie,Brassy Minnow,Trout Perch,Bass/Sunfish (General),minnow trapping,erosion/sedimentation,4100,Applied Aquatic Research Ltd.,C720
Bluegill,Bridgelip Sucker,Bass/Sunfish (General),Black Crappie,rotary screw trap,falls,6993,Applied Ecological Solutions Corp.,C3573
Brassy Minnow,Broad Whitefish,Black Crappie,Bluegill,seining,fence,,Aquaparian Environmental Consulting Ltd.,New
Bridgelip Sucker,Brook Stickleback,Bluegill,Largemouth Bass,setline,fisheries sensitive zone,8431,AquaSilva Resource Management Ltd.,C3205
Broad Whitefish,Brook Trout,Largemouth Bass,Pumpkinseed,swimming/snorkeling,fishway,6727,Aqua-Tex Scientific Consulting Ltd.,C3307
Brook Stickleback,Brown Bullhead,Pumpkinseed,Smallmouth Bass,trap net,ford,8347,Associated Environmental Consultants Inc.,C3121
Brook Trout,Brown Trout,Smallmouth Bass,Bullhead (General),visual observation above water,groundwater (field evidence),7191,Association of Wetland Stewards for Clayoquot and Barkley Sounds,C3768
Brown Bullhead,Bull Trout,Bullhead (General),Black Bullhead,method unknown,hatchery,8362,Assuage Environmental Ltd.,C3136
Brown Trout,Bullhead (General),Black Bullhead,Brown Bullhead,,hydro dam,,Aurico Metals Inc.,New
Bull Trout,Burbot,Brown Bullhead,Yellow Bullhead,,landslide or bank sloughing,1957,Avison Management Services Ltd.,C036
Bullhead (General),Carp (General),Yellow Bullhead,Carp (General),,livestock Water Supply,6901,Azimuth Consulting Group Partnership,C3481
Burbot,Char (General),Carp (General),Common Carp,,LWD Jam,,Balanced Ecological Management Company,New
Carp (General),Charlotte Unarmoured Stickleback,Common Carp,Goldfish,,rock outcrop,6081,Bamfield Marine Sciences Centre,C2701
Char (General),Chinook Salmon,Goldfish,Chub (General),,sinkhole,8320,BBA Engineering Ltd.,C3894
