rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,stream_width_ratio,culvert_length_score,embed_score,outlet_drop_score,culvert_slope_score,stream_width_ratio_score,final_score,barrier_result,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id
5,2023-08-25T00:00:00Z,,3700002,MW,10,519645.857326088,6041053.02197354,Copper Creek,Highway 97,,MOTI,Closed Bottom Structure,Round Culvert,1.18,22,No,,No,No,,1.2,0.4,0.6,No,2.5,3.7,2,No,No,Deep Fill,Medium,3.1,3,10,10,5,6,34,Barrier,Replace with New Open Bottom Structure,10,No water in culvert. Some water near inlet and outlet. Stream dewaters downstream again after ~20m. Burbot have been caught in the past approximately 700m upstream of the highway. Wide channel with small lakes and ponds upstream. Ministry of Transportation chris_culvert_id: 1997081. 11:52:21,pscis_phase1.xlsm,1003700002,11:52:21,2023-08-25T11:52:21Z,MW,3700002
6,2023-08-25T00:00:00Z,,3700034,MW,10,518793.729136637,6049041.41216884,Tributary to Crooked River,Highway 97,,MOTI,Closed Bottom Structure,Round Culvert,0.7,20,Yes,0.37,Yes,Yes,100,0.5,0,0.5,No,1,3.1,2,No,No,Deep Fill,Low,4.4,3,0,0,5,6,14,Passable,,,"Grate on inlet. Backwatered and big wetland area upstream. Difficult to determine where stream is, width and gradient estimated. Ministry of Transportation chris_culvert_id: 1997003. 12:41:10",pscis_phase1.xlsm,1003700034,12:41:10,2023-08-25T12:41:10Z,MW,3700034
7,2023-08-25T00:00:00Z,,3700010,MW,10,519126.110136172,6053246.71072015,Redrocky Creek,Highway 97,,MOTI,Closed Bottom Structure,Round Culvert,3.5,25,Yes,0.6,Yes,Yes,100,2.5,0,4,No,1,5.2,1,Yes,Yes,Deep Fill,Medium,1.5,3,5,0,5,6,19,Potential,Replace with New Open Bottom Structure,10,"Enormous outlet pool indicating culvert may be undersized. Numerous fish spotted in outlet pool and inlet side. Debris jams covering entire stream channel at inlet and at outlet of outlet pool. Pool very deep, depth estimated. Ministry of Transportation chris_hwy_structure_road_id: 3759. 13:35:05",pscis_phase1.xlsm,1003700010,13:35:05,2023-08-25T13:35:05Z,MW,3700010
8,2023-08-25T00:00:00Z,,3700015,MW,10,517177.127396134,6054489.51886076,Tributary to Crooked River,Highway 97,,MOTI,Closed Bottom Structure,Round Culvert,0.6,22,No,,No,No,,2.5,0.3,0.1,No,3,1.1,4,No,No,Deep Fill,Low,1.8,3,10,10,10,6,39,Barrier,Replace Structure with Streambed Simulation CBS,3,Very little flow through culvert. Overgrown channel. Very little water in stream. Not likely fish bearing. Ministry of Transportation chris_culvert_id: 1996752. 14:05:09,pscis_phase1.xlsm,1003700015,14:05:09,2023-08-25T14:05:09Z,MW,3700015
9,2023-08-25T00:00:00Z,,3701558,MW,10,513139.894787688,6067042.63316447,Altezega Creek,Highway 97,,MOTI,Closed Bottom Structure,Oval Culvert,4.2,26,No,,No,No,,1.5,0.3,0.4,No,0,3.5,1,No,Yes,Deep Fill,High,0.8,3,10,10,0,0,23,Barrier,Replace with New Open Bottom Structure,10,Fish spotted in culvert and near inlet. Some substrate and cobbles in pipe. Ministry of Transportation chris_hwy_structure_road_id: 2434. 14:47:11,pscis_phase1.xlsm,1003701558,14:47:11,2023-08-25T14:47:11Z,MW,3701558
10,2023-08-25T00:00:00Z,,3702598,MW,10,513534.479706188,6067127.51187874,Altezega Creek,Unknown,,Unclassified,Other,Ford,,,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Unknown,,,High habitat quality. Old quad trail. Small trib flowing into creek from one side. 15:08:17,pscis_phase1.xlsm,1003702598,15:08:17,2023-08-25T15:08:17Z,MW,3702598
11,2023-08-25T00:00:00Z,,2200002,AI,10,497880.613935363,6093709.56139965,Tributary to McLeod lake,Highway 97,,MOTI,Closed Bottom Structure,Round Culvert,1.2,60,No,,No,No,,9,0.65,1,No,0.5,3,0.5,No,No,Deep Fill,Medium,2.5,6,10,10,0,6,32,Barrier,Replace Structure with Streambed Simulation CBS,4.5,Stream is located between McLeod Lake Store on Highway and TseKhene food and fuel entrance. Most of the watershed drains reservation land. Could potentially be backwatered as an interim solution. Channel width estimated upstream in wetland type habitat so difficult to tell. Upstream end of the pipe is significantly sloped in the upstream direction. Ministry of Transportation chris_culvert_id: 1997114. 12:31:49,pscis_phase1.xlsm,1002200002,12:31:49,2023-08-25T12:31:49Z,AI,2200002
12,2023-08-25T00:00:00Z,,2200779,AI,10,500631.666187862,6089784.27934569,Tsatchuka Creek,Highway 97,,MOTI,Closed Bottom Structure,Round Culvert,2.5,34,No,,No,No,,2,0,1,Yes,0.5,4,0.5,Yes,No,Deep Fill,Medium,1.6,6,10,0,0,6,22,Barrier,Replace with New Open Bottom Structure,10,Grate on inlet and beaver influenced wetland upstream.  Inlet blocked by beaver debris with beaver trap on inlet.  Potentially good candidate for leveler to maintain beaver activity without attempting to remove the animals. Ministry of Transportation chris_culvert_id: 1997066. 13:04:57,pscis_phase1.xlsm,1002200779,13:04:57,2023-08-25T13:04:57Z,AI,2200779
13,2023-08-25T00:00:00Z,,2200604,AI,10,501962.859803174,6087825.86422237,Tributary to McLeod Lake,Highway 97,,MOTI,Closed Bottom Structure,Round Culvert,1.2,50,No,,No,No,,6,0.8,0.6,Yes,1,1.9,3,Yes,No,Deep Fill,Medium,1.6,6,10,10,5,6,37,Barrier,Replace Structure with Streambed Simulation CBS,3,"Abundant gravels, suitable for spawning upstream. Although flows are minimal, the streams does still have water.  Models as having over 3 km of habitat upstream below 5%. Although no fish are recorded as present upstream it seems highly likely that this would be a fish bearing stream. Outlet drop is 80cm.  Steep section of pipe at the inlet recorded as inlet drop. Ministry of Transportation chris_culvert_id: 1996852. 13:40:04",pscis_phase1.xlsm,1002200604,13:40:04,2023-08-25T13:40:04Z,AI,2200604
14,2023-08-25T00:00:00Z,,2200026,AI,10,503356.417886582,6085973.87311821,Tributary  to McLeod Lake,Highway 97,,MOTI,Closed Bottom Structure,Round Culvert,0.9,40,No,,No,No,,5,0.4,1.3,No,3,3.3,4,Yes,No,Deep Fill,Medium,3.7,6,10,10,10,6,42,Barrier,Replace with New Open Bottom Structure,16,Culvert is extremely under sized. Nice stream with pockets of gravel and good flow upstream. Rainbow known in the system. Culvert is literally unravelling at the downstream end with a very large outlet pool. Beaver activity noted downstream. Seems very unlikely that any fish can pass through the pipe. Ministry of Transportation chris_culvert_id: 1996861. 14:23:42,pscis_phase1.xlsm,1002200026,14:23:42,2023-08-25T14:23:42Z,AI,2200026
