reference_number,gazetted_name,local_name,waterbody_id,reach_number,site_number,temperature_c,conductivity_m_s_cm,turbidity,sampling_method,method_number,haul_number_pass_number,ef_seconds,ef_length_m,ef_width_m,enclosure,voltage,frequency,pulse,make,model,gill_net_type,length_m,depth_m,mesh_size,set,date_in,time_in,date_out,time_out,soak_time,habitat,species,stage,age,total_number,min_length_mm,max_length_mm,fish_activity,comments
1,Tributary to Parsnip River,125231_us_ef1,0,0,1,11,70,clear,electrofishing,1,1,301,15,1.9,open,350,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,14,43,49,,
2,Tributary to Parsnip River,125231_us_ef2,0,0,2,11,70,clear,electrofishing,1,1,211,19,1.9,open,350,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,10,40,51,,
2,Tributary to Parsnip River,125231_us_ef2,0,0,2,11,70,clear,electrofishing,1,1,211,19,1.9,open,350,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,adult,,1,157,157,,
3,Tributary to Parsnip river,125231_us_ef3,0,0,3,11,70,clear,electrofishing,1,1,364,29,1.7,open,350,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,34,40,53,,
4,Tributary to Parsnip River,125231_ds_ef1,0,0,4,11,70,clear,electrofishing,1,1,110,10,1.59999999999999,open,350,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,8,47,54,,
4,Tributary to Parsnip River,125231_ds_ef1,0,0,4,11,70,clear,electrofishing,1,1,110,10,1.59999999999999,open,350,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,2,56,57,,
5,Tributary to Parsnip River,125231_ds_ef2,0,0,5,11,70,clear,electrofishing,1,1,160,12,2.6,open,350,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,10,43,53,,
5,Tributary to Parsnip River,125231_ds_ef2,0,0,5,11,70,clear,electrofishing,1,1,160,12,2.6,open,350,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,1,58,58,,
6,Tributary to Parsnip River,125231_ds_ef3,0,0,6,11,70,clear,electrofishing,1,1,150,17,2.2,open,350,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,5,48,53,,
6,Tributary to Parsnip River,125231_ds_ef3,0,0,6,11,70,clear,electrofishing,1,1,150,17,2.2,open,350,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,1,58,58,,
7,Fern Creek,125261_ds_ef1,0,0,7,13,258,lightly turbid,electrofishing,1,1,289,21,4.3,open,350,40,,other,halltech HT2000,,,,,,,,,,,,Sculpin (General),,,1,50,50,,Not salmonids so no life stage specified.
7,Fern Creek,125261_ds_ef1,0,0,7,13,258,lightly turbid,electrofishing,1,1,289,21,4.3,open,350,40,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,8,35,54,,
7,Fern Creek,125261_ds_ef1,0,0,7,13,258,lightly turbid,electrofishing,1,1,289,21,4.3,open,350,40,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,6,60,95,,
7,Fern Creek,125261_ds_ef1,0,0,7,13,258,lightly turbid,electrofishing,1,1,289,21,4.3,open,350,40,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,juvenile,,1,136,136,,
8,Fern Creek,125261_ds_ef2,0,0,8,13,258,lightly turbid,electrofishing,1,1,614,35,3.5,open,350,40,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,5,42,53,,
8,Fern Creek,125261_ds_ef2,0,0,8,13,258,lightly turbid,electrofishing,1,1,614,35,3.5,open,350,40,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,5,57,97,,
9,Fern Creek,125261_ds_ef3,0,0,9,13,258,lightly turbid,electrofishing,1,1,237,14,2.8,open,350,40,,other,halltech HT2000,,,,,,,,,,,,Burbot,,,3,59,162,,Not salmonids so no life stage specified.
9,Fern Creek,125261_ds_ef3,0,0,9,13,258,lightly turbid,electrofishing,1,1,237,14,2.8,open,350,40,,other,halltech HT2000,,,,,,,,,,,,Sculpin (General),,,3,48,62,,Not salmonids so no life stage specified.
9,Fern Creek,125261_ds_ef3,0,0,9,13,258,lightly turbid,electrofishing,1,1,237,14,2.8,open,350,40,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,2,47,49,,
9,Fern Creek,125261_ds_ef3,0,0,9,13,258,lightly turbid,electrofishing,1,1,237,14,2.8,open,350,40,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,2,60,65,,
9,Fern Creek,125261_ds_ef3,0,0,9,13,258,lightly turbid,electrofishing,1,1,237,14,2.8,open,350,40,,other,halltech HT2000,,,,,,,,,,,,Sucker (General),,,1,70,70,,Not salmonids so no life stage specified.
10,Fern Creek,125261_us_ef1,0,0,10,13,258,lightly turbid,electrofishing,1,1,216,13,3.8,open,250,60,,other,halltech HT2000,,,,,,,,,,,,Sculpin (General),,,4,43,77,,Not salmonids so no life stage specified.
10,Fern Creek,125261_us_ef1,0,0,10,13,258,lightly turbid,electrofishing,1,1,216,13,3.8,open,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,7,36,55,,
10,Fern Creek,125261_us_ef1,0,0,10,13,258,lightly turbid,electrofishing,1,1,216,13,3.8,open,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,2,73,87,,
11,Fern Creek,125261_us_ef2,0,0,11,13,258,lightly turbid,electrofishing,1,1,191,18,2.4,open,250,60,,other,halltech HT2000,,,,,,,,,,,,Sculpin (General),,,1,70,70,,Not salmonids so no life stage specified.
11,Fern Creek,125261_us_ef2,0,0,11,13,258,lightly turbid,electrofishing,1,1,191,18,2.4,open,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,2,40,45,,
11,Fern Creek,125261_us_ef2,0,0,11,13,258,lightly turbid,electrofishing,1,1,191,18,2.4,open,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,3,79,98,,
11,Fern Creek,125261_us_ef2,0,0,11,13,258,lightly turbid,electrofishing,1,1,191,18,2.4,open,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,juvenile,,1,125,125,,
11,Fern Creek,125261_us_ef2,0,0,11,13,258,lightly turbid,electrofishing,1,1,191,18,2.4,open,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,adult,,1,149,149,,
12,Fern Creek,125261_us_ef3,0,0,12,13,258,lightly turbid,electrofishing,1,1,310,16,4.3,open,250,60,,other,halltech HT2000,,,,,,,,,,,,Sculpin (General),,,8,50,80,,Not salmonids so no life stage specified.
12,Fern Creek,125261_us_ef3,0,0,12,13,258,lightly turbid,electrofishing,1,1,310,16,4.3,open,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,16,30,54,,
12,Fern Creek,125261_us_ef3,0,0,12,13,258,lightly turbid,electrofishing,1,1,310,16,4.3,open,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,1,90,90,,
12,Fern Creek,125261_us_ef3,0,0,12,13,258,lightly turbid,electrofishing,1,1,310,16,4.3,open,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,juvenile,,2,105,134,,
