reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,sampling_method,method_number,haul_number_pass_number,species,length_mm,weight_g,sex,maturity,age_structure,age_sample_number,age,genetic_structure,genetic_sample_number,comments
1,Tributary to Parsnip River,125231_us_ef1,00000PARS,0,1,electrofishing,1,1,Rainbow Trout,48,1.2,,,,,,,,
1,Tributary to Parsnip River,125231_us_ef1,00000PARS,0,1,electrofishing,1,1,Rainbow Trout,46,1,,,,,,,,
1,Tributary to Parsnip River,125231_us_ef1,00000PARS,0,1,electrofishing,1,1,Rainbow Trout,49,1.4,,,,,,,,
1,Tributary to Parsnip River,125231_us_ef1,00000PARS,0,1,electrofishing,1,1,Rainbow Trout,45,1,,,,,,,,
1,Tributary to Parsnip River,125231_us_ef1,00000PARS,0,1,electrofishing,1,1,Rainbow Trout,47,1.3,,,,,,,,
1,Tributary to Parsnip River,125231_us_ef1,00000PARS,0,1,electrofishing,1,1,Rainbow Trout,44,0.9,,,,,,,,
1,Tributary to Parsnip River,125231_us_ef1,00000PARS,0,1,electrofishing,1,1,Rainbow Trout,47,1,,,,,,,,
1,Tributary to Parsnip River,125231_us_ef1,00000PARS,0,1,electrofishing,1,1,Rainbow Trout,48,1.7,,,,,,,,
1,Tributary to Parsnip River,125231_us_ef1,00000PARS,0,1,electrofishing,1,1,Rainbow Trout,43,1.5,,,,,,,,
1,Tributary to Parsnip River,125231_us_ef1,00000PARS,0,1,electrofishing,1,1,Rainbow Trout,45,0.9,,,,,,,,
1,Tributary to Parsnip River,125231_us_ef1,00000PARS,0,1,electrofishing,1,1,Rainbow Trout,48,1.3,,,,,,,,
1,Tributary to Parsnip River,125231_us_ef1,00000PARS,0,1,electrofishing,1,1,Rainbow Trout,45,1.1,,,,,,,,
1,Tributary to Parsnip River,125231_us_ef1,00000PARS,0,1,electrofishing,1,1,Rainbow Trout,47,1.6,,,,,,,,
1,Tributary to Parsnip River,125231_us_ef1,00000PARS,0,1,electrofishing,1,1,Rainbow Trout,45,0.9,,,,,,,,photo MW 12:31:41
2,Tributary to Parsnip River,125231_us_ef2,00000PARS,0,2,electrofishing,1,1,Rainbow Trout,157,40.7,,,,,,,,3DD.003E192BAD
2,Tributary to Parsnip River,125231_us_ef2,00000PARS,0,2,electrofishing,1,1,Rainbow Trout,51,1.8,,,,,,,,
2,Tributary to Parsnip River,125231_us_ef2,00000PARS,0,2,electrofishing,1,1,Rainbow Trout,46,1.3,,,,,,,,
