reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
1,Tributary to Parsnip River,125231_us_ef1,0,0,1,2.9,3.1,2.6,3.2,3.2,,,3,metre tape,2.2,2.1,1.8,1.9,1.6,,,1.92,metre tape,,,,,,,,,metre stick,,,,,,metre stick,2,,,,0.02,clinometer,moderate,,11.4,recording meter,70,recording meter,8.099999999999998,pH meter (general),clear,moderate,dominant,trace,trace,none,none,sub-dominant,none,1-20%,none,not applicable,none,sloping,cobbles,gravels,mixed forest,mature forest,V-shaped,cobbles,gravels,mixed forest,mature forest,gravels,cobbles,,,riffle-pool,sinuous,Decoupled,unconfined,,,,,,,,,"Low gradient, with abundant small woody debris. 12:52:44"
2,Tributary to Parsnip River,125231_us_ef2,0,0,2,2.7,3.1,2.8,2.2,,,,2.7,metre tape,1.8,2.5,2.2,1.2,,,,1.925,metre tape,0.4,,,,,,,0.4,metre stick,,,,,,metre stick,5,,,,0.05,clinometer,moderate,,11.4,recording meter,70,recording meter,8.099999999999998,pH meter (general),clear,moderate,dominant,trace,trace,none,trace,sub-dominant,none,1-20%,few,evenly distributed,none,sloping,cobbles,fines,,,V-shaped,fines,cobbles,,,cobbles,gravels,,,,,,,,,,,,,,,Wide channel with good flow. Some deep pools. 13:09:16
3,Tributary to Parsnip river,125231_us_ef3,0,0,3,2.5,3.8,3.4,2.8,,,,3.125,metre tape,1.1,2.2,1.9,1.4,,,,1.65,metre tape,,,,,,,,,metre stick,,,,,,metre stick,3,,,,0.03,clinometer,moderate,,11.4,recording meter,70,recording meter,8.099999999999998,pH meter (general),clear,moderate,sub-dominant,trace,trace,trace,none,dominant,none,1-20%,few,evenly distributed,none,sloping,cobbles,boulders,coniferous forest,mature forest,V-shaped,cobbles,,mixed forest,mature forest,cobbles,boulders,,,riffle-pool,sinuous,Partially Coupled,unconfined,,,,,,,,,Good flowing stream. Abundant small woody debris and cobbles. Some gravel patches. 14:33:39
4,Tributary to Parsnip River,125231_ds_ef1,0,0,4,3.5,3.4,3.4,3.6,,,,3.475,metre tape,2,1.3,1.3,1.8,,,,1.6,metre tape,,,,,,,,,metre stick,,,,,,metre stick,3,,,,0.03,clinometer,,,11.4,recording meter,70,recording meter,8.099999999999998,pH meter (general),clear,trace,trace,none,sub-dominant,none,none,dominant,none,1-20%,none,not applicable,none,sloping,gravels,,coniferous forest,,sloping,fines,,coniferous forest,,cobbles,gravels,,,riffle-pool,straight,Decoupled,unconfined,,,,,,,,,One or two small patches of gravel. Very little woody debris.  15:28:12
5,Tributary to Parsnip River,125231_ds_ef2,0,0,5,3.4,3.5,3.6,3.9,,,,3.6,metre tape,2.1,2.5,2.4,3.2,,,,2.55,metre tape,,,,,,,,,metre stick,,,,,,metre stick,3,,,,0.03,clinometer,,,11.4,recording meter,70,recording meter,8.099999999999998,pH meter (general),clear,moderate,sub-dominant,dominant,none,none,none,sub-dominant,none,1-20%,none,not applicable,none,,,,,,,,,,,gravels,cobbles,,,riffle-pool,straight,Decoupled,unconfined,,,,,,,,,Gravels and cobbles stream substrate. A lot of overhanging woody debris. 15:43:40
6,Tributary to Parsnip River,125231_ds_ef3,0,0,6,3.4,3.6,3.7,3.6,,,,3.575,metre tape,2.8,1.9,2.3,1.9,,,,2.225,metre tape,,,,,,,,,metre stick,,,,,,metre stick,3,,,,0.03,clinometer,moderate,,11.4,recording meter,70,recording meter,8.099999999999998,pH meter (general),clear,moderate,trace,trace,none,none,trace,dominant,none,21-40%,none,not applicable,none,sloping,cobbles,gravels,mixed forest,,sloping,cobbles,gravels,deciduous forest,,cobbles,gravels,,,riffle-pool,straight,Decoupled,unconfined,,,,,,,,,One deep pool with large woody debris.  16:05:15
7,Fern Creek,125261_ds_ef1,0,0,7,4.5,5.6,6,9,,,,6.275,metre tape,3.6,4.7,3.3,5.7,,,,4.325,metre tape,,,,,,,,,metre stick,,,,,,metre stick,2.5,,,,0.025,clinometer,moderate,,12.7,recording meter,258,recording meter,8.4,pH meter (general),Lightly Turbid,trace,trace,trace,none,trace,none,trace,none,1-20%,none,not applicable,none,undercut,gravels,,deciduous forest,young forest,sloping,fines,,shrubs,shrub,gravels,cobbles,,,riffle-pool,straight,Decoupled,,,,,,,,,,Good flowing stream with gravels. No overhanging cover. Multiple fish caught. 11:06:32
8,Fern Creek,125261_ds_ef2,0,0,8,4.3,5.6,5.7,5.1,,,,5.174999999999999,metre tape,2.3,3.9,3.9,3.8,,,,3.475,metre tape,,,,,,,,,metre stick,,,,,,metre stick,1,1.5,,,0.0125,clinometer,,,12.7,recording meter,258,recording meter,8.4,pH meter (general),Lightly Turbid,moderate,trace,sub-dominant,none,sub-dominant,trace,trace,none,1-20%,few,evenly distributed,none,sloping,gravels,fines,mixed forest,mature forest,sloping,gravels,fines,mixed forest,mature forest,gravels,cobbles,,,riffle-pool,straight,Decoupled,unconfined,,,,,,,,,Riffle habitat with abundant gravel and cobbles. No overhanging vegetation. Some undercut banks. 11:28:44
9,Fern Creek,125261_ds_ef3,0,0,9,4,5.3,4.9,4.4,,,,4.65,metre tape,1.6,4.1,3.5,1.8,,,,2.75,metre tape,,,,,,,,,metre stick,,,,,,metre stick,2,,,,0.02,clinometer,moderate,,12.7,recording meter,258,recording meter,8.4,pH meter (general),Lightly Turbid,moderate,sub-dominant,trace,none,sub-dominant,none,dominant,none,1-20%,none,not applicable,none,undercut,fines,gravels,mixed forest,mature forest,sloping,cobbles,gravels,mixed forest,mature forest,cobbles,gravels,,,riffle-pool,sinuous,Decoupled,unconfined,,,,,,,,,A lot of undercut banks. Big burbot caught near outlet pool. Some cascade habitat. 12:30:19
10,Fern Creek,125261_us_ef1,0,0,10,4.8,4.1,4.4,,,,,4.433333333333333,metre tape,4.8,3.6,2.9,,,,,3.766666666666667,metre tape,,,,,,,,,metre stick,,,,,,metre stick,2.5,,,,0.025,clinometer,,,12.7,recording meter,258,recording meter,8.4,pH meter (general),Lightly Turbid,moderate,trace,trace,none,sub-dominant,none,dominant,none,1-20%,none,not applicable,none,undercut,gravels,cobbles,mixed forest,mature forest,sloping,fines,gravels,mixed forest,mature forest,cobbles,gravels,,,riffle-pool,straight,Decoupled,unconfined,,,,,,,,,"Some undercut banks, no pool. Predominantly cobble substrate with little to no woody debris. Located approximately 100m upstream of the road. 14:39:16"
