rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id
,2023-08-30,6539,,AI TS JD BP,10,489933.4779481529,6077178.170724288,Hammett Creek,9200,,,Closed Bottom Structure,Round Culvert,3.1,16,No,,No,Yes,100,0.3,0,0.7,Yes,1,4.5,2,Yes,Yes,Deep Fill,High,,,"Public beaver, influence, wet land upstream. Fish observed at outlet. Nice flowing system downstream with pockets of gravel throughout. Two pipes at 1.55 m each. Fever great outlet cage dislodged and within stream approximately 5 m downstream of the pipes.          ",,,,2023-08-30T12:35:14Z,newgraph_airvine,6539
,2023-08-30,6541,,AI JD BP TS,10,487842.3649727061,6079435.382326395,Hammett Creek,9200,89,,Closed Bottom Structure,Round Culvert,1.2,21,No,,No,No,,2,0.2,0.7,No,3,3.8,2.5,No,Yes,Deep Fill,Medium,,,"Dry channel upstream and downstream except for fairly deep outlet pool with Fish present. Covered in poor shape with lots of rust. Road embankment. Fill failing on downstream side of road with large hole. Nice gravel’s available for spawning.  Although outlet drop appears to be greater than 50 cm, it was actually estimated at 20 cm because the outlet pool has the water below the level of the stream bed on the downstream side.             ",,,,2023-08-30T11:40:56Z,newgraph_airvine,6541
,2023-08-30,6543,,AI,10,496138.3151775523,6071029.863738858,Tributary to Hammett Creek,400,75,,Closed Bottom Structure,Round Culvert,4,21,No,,No,No,,0.5,0.3,1.2,Yes,0.5,4.7,1,Yes,No,Deep Fill,High,,,Large system with lots of water. 1.3 m high Beaverdam 2 m above inlets. Two pipes at 2.0 m in size each. Beaver cage on west pipe inlet functioning to keep dam away from the actual inlet. Abundant gravel suitable for spawning downstream. Very nice stream and potential good candidate for Replacement with a Bridge.,,,,2023-08-30T14:25:01Z,newgraph_airvine,6543
,2023-08-30,6544,,MW MD,10,506954.2012453534,6075741.698463711,Tributary to Crooked River,Carp Lake FSR,459.5,,Closed Bottom Structure,Round Culvert,0.5,8,No,,No,Yes,100,0.3,0,0,No,1,2.7,1,Yes,No,Deep Fill,Low,,,Beaver activity at inlet side. Wetland upstream. Pipe is very small. Pipe is caved in near the input. Dewatered downstream.,,,,2023-08-30T09:32:45Z,MateoW,6544
,2023-08-30,6546,,AI BP TS JD,10,499191.53898297745,6069208.937979238,Tributary to Weedon Creek,400,,,Closed Bottom Structure,Round Culvert,0.9,16,No,,No,Yes,100,2,0,0.65,No,1.8,8,0,Yes,Yes,Deep Fill,Medium,,,"Historic assessment from 2006 may have measured not the lowest elevation pipe. There are three pipes here. The main functioning pipe is 0.9 diameter and it’s 100% back water on the east side of the two larger 1.5 m pipes. Wetland, beaver influenced habitat, both upstream and downstream. Numerous fish (some RB) observed downstream and upstream.",,,,2023-08-30T10:03:49Z,newgraph_airvine,6546
,2023-08-30,6621,,MW MD,10,500201.1102268158,6067481.486025707,Tributary to Weedon Creek,Davie-War FSR,,,Closed Bottom Structure,Round Culvert,4.1,28.5,No,,No,Yes,100,2.5,0,1.3,No,1,5.6,1.5,Yes,Yes,Deep Fill,Medium,,,"Two pipes of similar diameter. Fully backwatered at outlet. Clear evidence of beaver activity near crossing. Dams upstream and downstream of crossing, creating big outlet pool. Fish spotted in culvert.",,,,2023-08-30T11:19:18Z,MateoW,6621
,2023-08-30,6622,,MW MD,10,498186.0444572981,6061320.2028306555,Tributary to Weedon Creek,Davie-Weedon Lake FSR,,,Closed Bottom Structure,Round Culvert,3.5,18.5,No,,No,No,,1,0,0.4,No,3,2.5,2.5,No,No,Deep Fill,High,,,"Two pipes of equal width. High habitat value, good flowing stream.",,,,2023-08-30T12:33:15Z,MateoW,6622
,2023-08-30,6623,,MW MD,10,495931.21188397927,6058429.888532301,Tributary to Weedon Lake,Davie-Weedon lake FSR,,,Closed Bottom Structure,Round Culvert,1.6,24.8,No,,No,No,,1,0.3,0.7,No,1.5,2.6,1,No,No,Deep Fill,Medium,,,"Big pipe, backwatered and creating big outlet pool. Wetland upstream. Some flow downstream.",,,,2023-08-30T13:33:37Z,MateoW,6623
,2023-08-30,6624,,MW TS JD BP,10,495267.4616764927,6053873.18253884,Tributary to Weedon Lake,Davie-Weedon Lake FSR,,,Closed Bottom Structure,Round Culvert,2.2,29,Yes,1.5,No,Yes,100,1,0,1.8,No,2,3.8,1,Yes,No,Deep Fill,Low,,,Big flooded wetland area. Beaver dam blocking inlet side. Massive outlet pool. Stream width and slope estimated. No defined channel. ,,,,2023-08-30T15:27:49Z,MateoW,6624
,2023-09-02,57621,,MW,10,526546.9248942691,6057751.948063987,Tributary to Tacheeda Lakes,Chuchinka-Hambone FSR,,,Open Bottom Structure,Bridge,11,4,No,,No,No,,,,,No,,,,No,No,,,,,Near intersection of hambone and colbourne. Wide channel with good flow.,,,,2023-09-02T14:09:47Z,MateoW,57621
,2023-08-25,,3700002,MW,10,519645.85732608836,6041053.021973543,Copper Creek,Highway 97,,,Closed Bottom Structure,Round Culvert,1.18,22,No,,No,Yes,100,1.2,0.4,0.6,No,2.5,3.7,2,No,No,Deep Fill,Low,,,Backwatered. No water in culvert. Some water near inlet and outlet. Stream dewaters downstream again after ~20m.,,,,2023-08-25T11:52:21Z,MateoW,3700002
