rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,stream_width_ratio,culvert_length_score,embed_score,outlet_drop_score,culvert_slope_score,stream_width_ratio_score,final_score,barrier_result,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id
NA,2023-08-30,6539,NA,AI TS JD BP,10,489933.4779481529,6077178.170724288,Hammett Creek,9200,NA,NA,Closed Bottom Structure,Round Culvert,3.1,16,No,NA,No,Yes,100,0.3,0,0.7,Yes,1,4.5,2,Yes,Yes,Deep Fill,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public beaver, influence, wet land upstream. Fish observed at outlet. Nice flowing system downstream with pockets of gravel throughout. Two pipes at 1.55 m each. Fever great outlet cage dislodged and within stream approximately 5 m downstream of the pipes.          ",NA,NA,NA,2023-08-30T12:35:14Z,newgraph_airvine,6539
NA,2023-08-30,6541,NA,AI JD BP TS,10,487842.3649727061,6079435.382326395,hammett Creek,9200,89,NA,Closed Bottom Structure,Round Culvert,1.2,21,No,NA,No,No,NA,2,0.2,0.7,No,3,3.8,2.5,No,Yes,Deep Fill,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dry channel upstream and downstream except for fairly deep outlet pool with Fish present. Covered in poor shape with lots of rust. Road embankment. Fill failing on downstream side of road with large hole. Nice gravel’s available for spawning.  Although outlet drop appears to be greater than 50 cm, it was actually estimated at 20 cm because the outlet pool has the water below the level of the stream bed on the downstream side.             ",NA,NA,NA,2023-08-30T11:40:56Z,newgraph_airvine,6541
NA,2023-08-30,6543,NA,AI,10,496138.3151775523,6071029.863738858,Tributary to Hammett Creek,400,75,NA,Closed Bottom Structure,Round Culvert,4,21,No,NA,No,No,NA,0.5,0.3,1.2,Yes,0.5,4.7,1,Yes,No,Deep Fill,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Large system with lots of water. 1.3 m high Beaverdam 2 m above inlets. Two pipes at 2.0 m in size each. Beaver cage on west pipe inlet functioning to keep dam away from the actual inlet. Abundant gravel suitable for spawning downstream. Very nice stream and potential good candidate for Replacement with a Bridge.,NA,NA,NA,2023-08-30T14:25:01Z,newgraph_airvine,6543
NA,2023-08-30,6544,NA,MW Madi,10,506954.2012453534,6075741.698463711,Tributary to Crooked River,Carp Lake FSR,459.5,NA,Closed Bottom Structure,Round Culvert,0.5,8,No,NA,No,Yes,100,0.3,0,0,No,1,2.7,1,Yes,No,Deep Fill,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beaver activity at inlet side. Wetland upstream. Pipe is very small. Pipe is caved in near the input. Dewatered downstream.,NA,NA,NA,2023-08-30T09:32:45Z,MateoW,6544
NA,2023-08-30,6546,NA,AI BP TS JD,10,499191.53898297745,6069208.937979238,Tributary to Weedon Creek,400,NA,NA,Closed Bottom Structure,Round Culvert,0.9,16,No,NA,No,Yes,100,2,0,0.65,No,1.8,8,0,Yes,Yes,Deep Fill,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Historic assessment from 2006 may have measured not the lowest elevation pipe. There are three pipes here. The main functioning pipe is 0.9 diameter and it’s 100% back water on the east side of the two larger 1.5 m pipes. Wetland, beaver influenced habitat, both upstream and downstream. Numerous fish (some RB) observed downstream and upstream.",NA,NA,NA,2023-08-30T10:03:49Z,newgraph_airvine,6546
NA,2023-08-30,6621,NA,MW Madi,10,500201.1102268158,6067481.486025707,Tributary to Weedon Creek,Davie-war FSR,NA,NA,Closed Bottom Structure,Round Culvert,4.1,28.5,No,NA,No,Yes,100,2.5,0,1.3,No,1,5.6,1.5,Yes,Yes,Deep Fill,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Two pipes of similar diameter. Fully backwatered at outlet. Clear evidence of beaver activity near crossing. Dams upstream and downstream of crossing, creating big outlet pool. Fish spotted in culvert.",NA,NA,NA,2023-08-30T11:19:18Z,MateoW,6621
NA,2023-08-30,6622,NA,MW Madi,10,498186.0444572981,6061320.2028306555,Tributary to Weedon Creek,Davie-weedon lake FSR,NA,NA,Closed Bottom Structure,Round Culvert,3.5,18.5,No,NA,No,No,NA,1,0,0.4,No,3,2.5,2.5,No,No,Deep Fill,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Two pipes of equal width. High habitat value, good flowing stream.",NA,NA,NA,2023-08-30T12:33:15Z,MateoW,6622
NA,2023-08-30,6623,NA,MW Madi,10,495931.21188397927,6058429.888532301,Tributary to Weedon Lake,Davie weedon lake FSR,NA,NA,Closed Bottom Structure,Round Culvert,1.6,24.8,No,NA,No,No,NA,1,0.3,0.7,No,1.5,2.6,1,No,No,Deep Fill,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Big pipe, backwatered and creating big outlet pool. Wetland upstream. Some flow downstream.",NA,NA,NA,2023-08-30T13:33:37Z,MateoW,6623
NA,2023-08-30,6624,NA,MW Macleod,10,495267.4616764927,6053873.18253884,Tributary to Weedon Lake,Davie-weedon Lake FSR,NA,NA,Closed Bottom Structure,Round Culvert,2.2,29,Yes,1.5,No,Yes,100,1,0,1.8,No,2,3.8,1,Yes,No,Deep Fill,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Big flooded wetland area. Beaver dam blocking inlet side. Massive outlet pool. Stream width and slope estimated. No defined channel. ,NA,NA,NA,2023-08-30T15:27:49Z,MateoW,6624
NA,2023-09-02,57621,NA,MW,10,526546.9248942691,6057751.948063987,NA,NA,NA,NA,Open Bottom Structure,Bridge,11,4,No,NA,No,No,NA,NA,NA,NA,No,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Near intersection of hambone and colbourne. Wide channel with good flow.,NA,NA,NA,2023-09-02T14:09:47Z,MateoW,57621
