Scientific Name,Species Name,Species Code,BC List,Provincial FRPA,COSEWIC,SARA,Parsnip,Carp,Crooked
Catostomus catostomus,Longnose Sucker,LSU,Yellow,NA,NA,NA,Yes,Yes,Yes
Catostomus columbianus,Bridgelip Sucker,BSU,Yellow,NA,NA,NA,NA,NA,Yes
Catostomus commersonii,White Sucker,WSU,Yellow,NA,NA,NA,Yes,Yes,Yes
Catostomus macrocheilus,Largescale Sucker,CSU,Yellow,NA,NA,NA,Yes,Yes,Yes
Coregonus clupeaformis,Lake Whitefish,LW,Yellow,NA,NA,NA,Yes,Yes,Yes
Cottus aleuticus,Coastrange Sculpin (formerly Aleutian Sculpin),CAL,Yellow,NA,NA,NA,Yes,NA,NA
Cottus asper,Prickly Sculpin,CAS,Yellow,NA,NA,NA,Yes,Yes,Yes
Cottus cognatus,Slimy Sculpin,CCG,Yellow,NA,NA,NA,Yes,Yes,NA
Cottus hubbsi,Mottled Sculpin,CBA,Blue,NA,SC (Nov 2010),1-SC (Jun 2003),Yes,NA,NA
Couesius plumbeus,Lake Chub,LKC,Yellow,NA,DD,NA,Yes,Yes,Yes
Esox lucius,Northern Pike,NP,Yellow,NA,NA,NA,NA,NA,Yes
Hybognathus hankinsoni,Brassy Minnow,BMC,No Status,NA,NA,NA,NA,Yes,Yes
Lota lota,Burbot,BB,Yellow,NA,NA,NA,Yes,Yes,Yes
Mylocheilus caurinus,Peamouth Chub,PCC,Yellow,NA,NA,NA,Yes,Yes,Yes
Oncorhynchus mykiss,Rainbow Trout,RB,Yellow,NA,NA,NA,Yes,Yes,Yes
Oncorhynchus nerka,Kokanee,KO,Yellow,NA,NA,NA,Yes,NA,NA
Osmerus dentex,Rainbow Smelt,RSM,Unknown,NA,NA,NA,Yes,NA,NA
Prosopium coulterii,Pygmy Whitefish,PW,Yellow,NA,NAR (Nov 2016),NA,Yes,NA,NA
Prosopium cylindraceum,Round Whitefish,RW,Yellow,NA,NA,NA,Yes,NA,NA
Prosopium williamsoni,Mountain Whitefish,MW,Yellow,NA,NA,NA,Yes,Yes,Yes
Ptychocheilus oregonensis,Northern Pikeminnow,NSC,Yellow,NA,NA,NA,Yes,Yes,Yes
Rhinichthys cataractae,Longnose Dace,LNC,Yellow,NA,NA,NA,Yes,NA,Yes
Richardsonius balteatus,Redside Shiner,RSC,Yellow,NA,NA,NA,Yes,Yes,Yes
Salvelinus confluentus,Bull Trout,BT,Blue,Y (Jun 2006),SC (Nov 2012),NA,Yes,Yes,Yes
Salvelinus fontinalis,Brook Trout,EB,Exotic,NA,NA,NA,Yes,NA,Yes
Salvelinus malma,Dolly Varden,DV,Yellow,NA,NA,NA,Yes,Yes,Yes
Salvelinus namaycush,Lake Trout,LT,Yellow,NA,NA,NA,Yes,Yes,Yes
Thymallus arcticus,Arctic Grayling,GR,Yellow,NA,NA,NA,Yes,NA,NA
NA,Chub (General),CBC,NA,NA,NA,NA,Yes,Yes,Yes
NA,Dace (General),DC,NA,NA,NA,NA,Yes,NA,NA
NA,Minnow (General),C,NA,NA,NA,NA,Yes,Yes,Yes
NA,Sculpin (General),CC,NA,NA,NA,NA,Yes,Yes,Yes
NA,Squanga,SQ,NA,NA,NA,NA,NA,NA,Yes
NA,Sucker (General),SU,NA,NA,NA,NA,Yes,Yes,Yes
NA,Whitefish (General),WF,NA,NA,NA,NA,Yes,Yes,Yes
