species_code,Width,width_id,Count,total_spp,Percent
BT,0 - 2m,2,11,236,5
BT,02 - 04m,4,25,236,11
BT,04 - 06m,6,29,236,12
BT,06 - 10m,10,35,236,15
BT,10 - 15m,15,30,236,13
BT,15m+,99,103,236,44
BT,NA,NA,3,236,1
GR,04 - 06m,6,5,230,2
GR,06 - 10m,10,7,230,3
GR,10 - 15m,15,14,230,6
GR,15m+,99,200,230,87
GR,NA,NA,4,230,2
KO,0 - 2m,2,1,17,6
KO,06 - 10m,10,3,17,18
KO,15m+,99,1,17,6
KO,NA,NA,12,17,71
RB,0 - 2m,2,23,415,6
RB,02 - 04m,4,51,415,12
RB,04 - 06m,6,37,415,9
RB,06 - 10m,10,36,415,9
RB,10 - 15m,15,34,415,8
RB,15m+,99,141,415,34
RB,NA,NA,93,415,22
