reference_number,local_name,site,temperature_c,conductivity_m_s_cm,turbidity,sampling_method,method_number,haul_number_pass_number,ef_seconds,ef_length_m,ef_width_m,enclosure,voltage,frequency,pulse,make,model,species,stage,fish_activity,total_number,min,max,comments
1,125231_us_ef1,125231,11,70,clear,electrofishing,1,1,301,15,1.9,open,350,60,,other,halltech HT2000,Rainbow Trout,fry,,14,43,49,
2,125231_us_ef2,125231,11,70,clear,electrofishing,1,1,211,19,1.9,open,350,60,,other,halltech HT2000,Rainbow Trout,fry,,10,40,51,
2,125231_us_ef2,125231,11,70,clear,electrofishing,1,1,211,19,1.9,open,350,60,,other,halltech HT2000,Rainbow Trout,adult,,1,157,157,
3,125231_us_ef3,125231,11,70,clear,electrofishing,1,1,364,29,1.7,open,350,60,,other,halltech HT2000,Rainbow Trout,fry,,34,40,53,
4,125231_ds_ef1,125231,11,70,clear,electrofishing,1,1,110,10,1.5999999999999999,open,350,60,,other,halltech HT2000,Rainbow Trout,fry,,8,47,54,
4,125231_ds_ef1,125231,11,70,clear,electrofishing,1,1,110,10,1.5999999999999999,open,350,60,,other,halltech HT2000,Rainbow Trout,parr,,2,56,57,
5,125231_ds_ef2,125231,11,70,clear,electrofishing,1,1,160,12,2.6,open,350,60,,other,halltech HT2000,Rainbow Trout,fry,,10,43,53,
5,125231_ds_ef2,125231,11,70,clear,electrofishing,1,1,160,12,2.6,open,350,60,,other,halltech HT2000,Rainbow Trout,parr,,1,58,58,
6,125231_ds_ef3,125231,11,70,clear,electrofishing,1,1,150,17,2.2,open,350,60,,other,halltech HT2000,Rainbow Trout,fry,,5,48,53,
6,125231_ds_ef3,125231,11,70,clear,electrofishing,1,1,150,17,2.2,open,350,60,,other,halltech HT2000,Rainbow Trout,parr,,1,58,58,
7,125261_ds_ef1,125261,13,258,lightly turbid,electrofishing,1,1,289,21,4.3,open,350,40,,other,halltech HT2000,Sculpin (General),,,1,50,50,Not salmonids so no life stage specified.
7,125261_ds_ef1,125261,13,258,lightly turbid,electrofishing,1,1,289,21,4.3,open,350,40,,other,halltech HT2000,Rainbow Trout,fry,,8,35,54,
