reference_number,alias_local_name,site,location,ef,species_codes,bt_rearing_km,upstream_habitat_length_m
1,125231_us_ef1,125231,us,ef1,,,
2,125231_us_ef2,125231,us,ef2,,,
3,125231_us_ef3,125231,us,ef3,,,
4,125231_ds_ef1,125231,ds,ef1,,,
5,125231_ds_ef2,125231,ds,ef2,,,
6,125231_ds_ef3,125231,ds,ef3,,,
7,125261_ds_ef1,125261,ds,ef1,,,
8,125261_ds_ef2,125261,ds,ef2,,,
9,125261_ds_ef3,125261,ds,ef3,,,
10,125261_us_ef1,125261,us,ef1,,,
11,125261_us_ef2,125261,us,ef2,,,
12,125261_us_ef3,125261,us,ef3,,,
13,198710_us,198710,us,,RB,2.95,2950
14,198710_ds,198710,ds,,,,
15,198687_us,198687,us,,RB,3.94,3940
16,198687_ds,198687,ds,,,,
17,198694_us,198694,us,,,4.37,4370
18,198694_ds,198694,ds,,,,
19,198666_us,198666,us,,RB,4.68,4680
20,198666_ds,198666,ds,,,,
