rowid,aggregated_crossings_id,pscis_crossing_id,my_crossing_reference,source,barrier_result,downstream_channel_width_meters,fill_depth_meters,fill_dpth_over,crossing_fix,span_input
5,1003700002,,3700002,pscis_phase1.xlsm,Barrier,3.7,1.2,-1.8,Replace with New Open Bottom Structure,10
6,1003700034,,3700034,pscis_phase1.xlsm,Passable,3.1,0.5,-2.5,,
7,1003700010,,3700010,pscis_phase1.xlsm,Potential,5.2,2.5,-0.5,Replace with New Open Bottom Structure,10
8,1003700015,,3700015,pscis_phase1.xlsm,Barrier,1.1,2.5,-0.5,Replace Structure with Streambed Simulation CBS,3
9,1003701558,,3701558,pscis_phase1.xlsm,Barrier,3.5,1.5,-1.5,Replace with New Open Bottom Structure,10
10,1003702598,,3702598,pscis_phase1.xlsm,Unknown,,,,,
11,1002200002,,2200002,pscis_phase1.xlsm,Barrier,3,9,6,Replace Structure with Streambed Simulation CBS,4.5
12,1002200779,,2200779,pscis_phase1.xlsm,Barrier,4,2,-1,Replace with New Open Bottom Structure,10
13,1002200604,,2200604,pscis_phase1.xlsm,Barrier,1.9,6,3,Replace Structure with Streambed Simulation CBS,3
14,1002200026,,2200026,pscis_phase1.xlsm,Barrier,3.3,5,2,Replace with New Open Bottom Structure,16
15,1002200119,,2200119,pscis_phase1.xlsm,Passable,,,,,
16,1002200114,,2200114,pscis_phase1.xlsm,Passable,,,,,
17,1002200014,,2200014,pscis_phase1.xlsm,Barrier,7,5,2,Replace with New Open Bottom Structure,16
18,1003702044,,3702044,pscis_phase1.xlsm,Potential,2.1,5,2,Replace with New Open Bottom Structure,16
19,1003701553,,3701553,pscis_phase1.xlsm,Barrier,2.4,1.5,-1.5,Replace with New Open Bottom Structure,10
20,1003701554,,3701554,pscis_phase1.xlsm,Barrier,1.9,3,0,Replace Structure with Streambed Simulation CBS,3
21,1003702078,,3702078,pscis_phase1.xlsm,Passable,,,,,
22,1003702075,,3702075,pscis_phase1.xlsm,Barrier,2,0.3,-2.7,Replace with New Open Bottom Structure,10
23,1003700005,,3700005,pscis_phase1.xlsm,Barrier,2.3,1,-2,Replace with New Open Bottom Structure,10
24,1003703410,,3703410,pscis_phase1.xlsm,Barrier,1.9,2,-1,Replace Structure with Streambed Simulation CBS,3
25,1003700003,,3700003,pscis_phase1.xlsm,Passable,2.3,3.5,0.5,,
26,1003703324,,3703324,pscis_phase1.xlsm,Passable,,,,,
27,1003700007,,3700007,pscis_phase1.xlsm,Barrier,1.7,4,1,Replace Structure with Streambed Simulation CBS,3
28,1003700006,,3700006,pscis_phase1.xlsm,Potential,3.4,1,-2,Replace with New Open Bottom Structure,10
29,1003700019,,3700019,pscis_phase1.xlsm,Barrier,5,3,0,Replace with New Open Bottom Structure,10
30,1003701847,,3701847,pscis_phase1.xlsm,Unknown,,,,,
31,1003700023,,3700023,pscis_phase1.xlsm,Potential,4,4.5,1.5,Replace with New Open Bottom Structure,14.5
32,1003700024,,3700024,pscis_phase1.xlsm,Passable,2.5,1.5,-1.5,,
33,1003701948,,3701948,pscis_phase1.xlsm,Barrier,3.9,10,7,Replace with New Open Bottom Structure,31
34,1002200009,,2200009,pscis_phase1.xlsm,Barrier,4.1,1.2,-1.8,Replace with New Open Bottom Structure,10
35,1002200012,,2200012,pscis_phase1.xlsm,Barrier,2.5,8,5,Replace Structure with Streambed Simulation CBS,4.5
36,1003702657,,3702657,pscis_phase1.xlsm,Barrier,1,0.5,-2.5,Replace Structure with Streambed Simulation CBS,3
37,1003702663,,3702663,pscis_phase1.xlsm,Barrier,3.6,4,1,Replace with New Open Bottom Structure,13
38,1003702665,,3702665,pscis_phase1.xlsm,Barrier,3.5,2,-1,Replace with New Open Bottom Structure,10
39,1003703459,,3703459,pscis_phase1.xlsm,Barrier,2.2,1.5,-1.5,Replace with New Open Bottom Structure,10
40,2023082901,,2023082901,pscis_phase1.xlsm,Passable,,,,,
41,1003702446,,3702446,pscis_phase1.xlsm,Barrier,0,2.5,-0.5,Replace Structure with Streambed Simulation CBS,3
42,1003702959,,3702959,pscis_phase1.xlsm,Barrier,3.4,0.5,-2.5,Replace with New Open Bottom Structure,10
43,1003702445,,3702445,pscis_phase1.xlsm,Barrier,3.5,1,-2,Replace with New Open Bottom Structure,10
44,1003703222,,3703222,pscis_phase1.xlsm,Barrier,2.3,2,-1,Replace with New Open Bottom Structure,10
45,1024743865,,24743865,pscis_phase1.xlsm,Passable,,,,,
