object_name,package_name,url_browser,description,id_package,id_dataset,url_download
whse_parks.pa_prtctd_lnd_rstrctns_sv,protected-lands-access-restrictions,https://catalogue.data.gov.bc.ca/dataset/a10c0626-424c-4e9f-b84a-673c02e4d2b9,"Protected Lands access restrictions include if a BC Park, Ecological Reserve, Protected Area, Recreation Area or Conservancy Area have access or use restrictions applied. This includes full closures, partial closures, if inaccessible, and restrictions/permits are required. This dataset also includes if campfires are permitted, prohibited or banned. ",a10c0626-424c-4e9f-b84a-673c02e4d2b9,363c4675-7c88-4bd9-bcc8-e206ca1b0617,https://openmaps.gov.bc.ca/geo/pub/WHSE_PARKS.PA_PRTCTD_LND_RSTRCTNS_SV/ows?service=WMS&request=GetCapabilities
whse_land_and_natural_resource.prot_current_fire_polys_sp,bc-wildfire-fire-perimeters-current,https://catalogue.data.gov.bc.ca/dataset/cdfc2d7b-c046-4bf0-90ac-4897232619e1,"Wildfire perimeters for the current fire season, including both active and inactive fires, supplied from various sources.   The data is refreshed from operational systems every 15 min.  These perimeters are rolled over to Historical Fire Polygons on April 1 of each year

Wildfire data may not reflect the most current fire situation, and therefore should only be used for reference purposes. Wildfire data is refreshed when practicable and individual fire update frequency will vary. The information is intended for general purposes only and should not be relied on as accurate because fires are dynamic and circumstances may change quickly.",cdfc2d7b-c046-4bf0-90ac-4897232619e1,fc86711c-d9a9-4431-9f89-f69c4203d5b0,https://openmaps.gov.bc.ca/geo/pub/WHSE_LAND_AND_NATURAL_RESOURCE.PROT_CURRENT_FIRE_POLYS_SP/ows?service=WMS&request=GetCapabilities
whse_forest_tenure.ften_rec_dtails_closures_sv,recreation-sites-reserves-and-interpretive-forests-details-and-closures,https://catalogue.data.gov.bc.ca/dataset/b0f23ae8-e0aa-449c-a806-653ba37f100a,"The data contained within this spatial layer is an amalgamation of information for trails, Sites, Reserves, and Interpretive Forests derived from Forest Tenure Administration (FTA). The point is derived from the coordinates linked to each recreation number example ( REC1567 ). That coordinate will identify either the trail head or the camping location or access point to the area. Larger areas will be a central point to the polygon. http://www.sitesandtrailsbc.ca/closures.aspx",b0f23ae8-e0aa-449c-a806-653ba37f100a,2cd981f1-0f61-480b-a035-b2e0c3304d09,https://openmaps.gov.bc.ca/geo/pub/WHSE_FOREST_TENURE.FTEN_REC_DTAILS_CLOSURES_SV/ows?service=WMS&request=GetCapabilities
whse_parks.pa_prtctd_lnd_facilities_sp,protected-lands-access-restrictions-points,https://catalogue.data.gov.bc.ca/dataset/d58353ac-b063-4d8f-a199-c102d0b9407f,"Protected Lands access restrictions include if a BC Park, Ecological Reserve, Protected Area, Recreation Area or Conservancy Area have access or use restrictions applied. This includes full closures, partial closures, if inaccessible, and restrictions/permits are required. This dataset also includes if campfires are permitted, prohibited or banned.",d58353ac-b063-4d8f-a199-c102d0b9407f,a73c152e-5b32-4664-9a60-5bdb9bee9299,https://openmaps.gov.bc.ca/geo/pub/WHSE_PARKS.PA_PRTCTD_LND_FACILITIES_SP/ows?service=WMS&request=GetCapabilities
whse_land_and_natural_resource.prot_current_fire_pnts_sp,bc-wildfire-fire-locations-current,https://catalogue.data.gov.bc.ca/dataset/2790e3f7-6395-4230-8545-04efb5a18800,"Wildfire location points for the current fire season.  This includes both active and inactive fires. Data is supplied through various sources and is updated from the operational systems every 15 minutes.     These points are rolled over to Historical Fire Points on April 1 of each year.

Wildfire data may not reflect the most current fire situation, and therefore should only be used for reference purposes. Wildfire data is refreshed when practicable and individual fire update frequency will vary. The information is intended for general purposes only and should not be relied on as accurate because fires are dynamic and circumstances may change quickly.",2790e3f7-6395-4230-8545-04efb5a18800,f4857357-2dcc-46cf-98ca-c3d81dd2da9c,https://openmaps.gov.bc.ca/geo/pub/WHSE_LAND_AND_NATURAL_RESOURCE.PROT_CURRENT_FIRE_PNTS_SP/ows?service=WMS&request=GetCapabilities
whse_forest_tenure.ften_recreation_poly_svw,recreation-polygons,https://catalogue.data.gov.bc.ca/dataset/263338a7-93ee-49c1-83e8-13f0bde70833,"The spatial representation of a recreation feature. This can be either a recreation reserve, recreation site, or an interpretative forest",263338a7-93ee-49c1-83e8-13f0bde70833,f7d68772-d93d-4031-8a0a-4403e2f8092c,https://openmaps.gov.bc.ca/geo/pub/WHSE_FOREST_TENURE.FTEN_RECREATION_POLY_SVW/ows?service=WMS&request=GetCapabilities
whse_fish.wdic_waterbody_route_line_svw,wsa-stream-routes-50-000,https://catalogue.data.gov.bc.ca/dataset/9c3f8dd6-d715-4e3c-aa9b-cd8e26f9906d,"Stream routes. Each stream channel is represented by a single line. Derived from the Stream Centreline Network Spatial layer and based on the 1:50,000 scale Canadian National Topographic Series of Maps.",9c3f8dd6-d715-4e3c-aa9b-cd8e26f9906d,8ea69566-b80d-4d35-bb09-1dc85d13dba9,https://openmaps.gov.bc.ca/geo/pub/WHSE_FISH.WDIC_WATERBODY_ROUTE_LINE_SVW/ows?service=WMS&request=GetCapabilities
whse_fish.wdic_waterbody_stream_line_svw,wsa-stream-centreline-network-50-000,https://catalogue.data.gov.bc.ca/dataset/75299593-3222-40f9-879f-29e9824fc978,"Stream Centreline Network derived from 1:50,000 scale mapping. Each stream channel is represented by one or more line segments. Based on the 1:50,000 scale Canadian National Topographic Series of Maps.",75299593-3222-40f9-879f-29e9824fc978,b0e422d0-cc09-4ca3-bc25-1846f42fb597,https://openmaps.gov.bc.ca/geo/pub/WHSE_FISH.WDIC_WATERBODY_STREAM_LINE_SVW/ows?service=WMS&request=GetCapabilities
whse_fish.wdic_macro_reach_line_svw,bc-macro-reaches-50-000,https://catalogue.data.gov.bc.ca/dataset/ef788b80-e112-441d-96a8-957cbbe92a4d,"Stream Macro-Reaches delineated through interpretation of Topographic features from the 1:50,000 scale Canadian National Topographic Series of Maps.",ef788b80-e112-441d-96a8-957cbbe92a4d,ed390cf6-6845-497d-8840-697a220388ff,https://openmaps.gov.bc.ca/geo/pub/WHSE_FISH.WDIC_MACRO_REACH_LINE_SVW/ows?service=WMS&request=GetCapabilities
whse_fish.wdic_watershed_poly_svw,wsa-third-order-and-greater-watersheds-50-000,https://catalogue.data.gov.bc.ca/dataset/899272e1-eb64-415b-ba38-bfceb4f75996,"Watershed polygons of Third Order and greater based on the Strahler Stream Order classification method and the 1:50,000 scale Canadian National Topographic Series of maps.",899272e1-eb64-415b-ba38-bfceb4f75996,d8a29d19-12b0-4848-b117-9be8653dd17d,https://openmaps.gov.bc.ca/geo/pub/WHSE_FISH.WDIC_WATERSHED_POLY_SVW/ows?service=WMS&request=GetCapabilities
