content,url,description
bcfishobs.fiss_fish_obsrvtn_events_vw,https://github.com/smnorris/bcfishobs,whse_fish.fiss_fish_obsrvtn_pnt_sp points referenced to their position on the FWA stream network
bcfishpass.crossings_vw,https://smnorris.github.io/bcfishpass/,Aggregated stream crossing locations. Features are aggregated from 1.PSCIS stream crossings (where possible to match to an FWA stream) 2. CABD dams (where possible to match to an FWA stream) 3. modelled road/rail/trail stream crossings  4. misc anthropogenic barriers from expert/local input
bcfishpass.streams_vw,https://smnorris.github.io/bcfishpass/,View of FWA stream networks and value-added attributes.  Also see https://catalogue.data.gov.bc.ca/dataset/freshwater-atlas-stream-network.
fwa_watershed_groups_poly,https://catalogue.data.gov.bc.ca/dataset/freshwater-atlas-watershed-groups/resource/7239c84e-418a-4a9e-97bf-61b166410384,"whse_basemapping.fwa_watershed_groups_poly. Contains polygons delimiting the watershed group boundary which is a collection of drainage area basins. In-land groups will contain a single polygon, coastal groups may contain multiple polygons (one for each island) i.e., this is a multipart polygon feature. Spatial geometry: multipart polygon"
parameters_habitat_method,https://github.com/smnorris/bcfishpass/tree/main/parameters,"List of watershed groups to process, and the IP model method to use per watershed group, where cw indicates channel width and mad indicates mean annual discharge."
parameters_habitat_thresholds,https://github.com/smnorris/bcfishpass/tree/main/parameters,Per-species thresholds to use for IP modelling
rfp_tracking,https://github.com/NewGraphEnvironment/dff-2022/tree/master/scripts/qgis,File tracking addition of layers to the `backgroun_layers.gpkg` of the project.  Includes metadata related to time of creation and watershed groups used to clip layer to study area.
whse_admin_boundaries.clab_indian_reserves,https://catalogue.data.gov.bc.ca/dataset/8efe9193-80d2-4fdf-a18c-d531a94196ad,"Provide the administrative boundaries (extent) of Canada Lands which includes Indian Reserves.   Administrative boundaries were compiled from Legal Surveys Division's cadastral datasets and survey records archived in the Canada Lands Survey Records. See the Natural Resource Canada's GeoGratis website, Aboriginal Lands."
whse_admin_boundaries.clab_national_parks,https://catalogue.data.gov.bc.ca/dataset/88e61a14-19a0-46ab-bdae-f68401d3d0fb,"This dataset provides the administrative boundaries of National Parks and National Park Reserves within the province of British Columbia.  Administrative boundaries were compiled from Legal Surveys Division's cadastral datasets and survey records archived in the Canada Lands Survey Records.  Canada Lands Administrative Boundaries (CLAB) were adjusted to match British Columbia's authoritative base mapping features.  The Fresh Water Atlas (FWA) was used for streams, rivers, coastlines, and height of land. The Integrated Cadastral Fabric (ICF) was used for parcel boundaries. Tantalis Cadastre was used where ICF parcels were not available."
whse_basemapping.cwb_floodplains_bc_area_svw,https://catalogue.data.gov.bc.ca/dataset/cdf4900e-90c0-449f-beea-43b669bd76a8,"Historical floodplain boundaries in BC with a descriptive feature name for each floodplain area (i.e., 200-year floodplain, alluvial fan, or nothing/out-of-floodplain). Digitized from hardcopy 1:5,000   Floodplain Mapsheets for each project area"
whse_basemapping.fwa_glaciers_poly,https://catalogue.data.gov.bc.ca/dataset/8f2aee65-9f4c-4f72-b54c-0937dbf3e6f7,"Glaciers and ice masses for the province, derived from aerial imagery flown in the late 1980s and early 1990s.

Please refer to the [Glaciers](https://catalogue.data.gov.bc.ca/dataset/glaciers) dataset for recent glacier extents in British Columbia, and [Historical Glaciers](https://catalogue.data.gov.bc.ca/dataset/historical-glaciers) for a comparable historic view."
whse_basemapping.fwa_lakes_poly,https://catalogue.data.gov.bc.ca/dataset/cb1e3aba-d3fe-4de1-a2d4-b8b6650fb1f6,All lake polygons for the province
whse_basemapping.fwa_manmade_waterbodies_poly,https://catalogue.data.gov.bc.ca/dataset/055fd71e-b771-4d47-a863-8a54f91a954c,"All manmade waterbodies, including reservoirs and canals, for the province"
whse_basemapping.fwa_named_streams,NA,NA
whse_basemapping.fwa_watershed_groups_poly,https://catalogue.data.gov.bc.ca/dataset/51f20b1a-ab75-42de-809d-bf415a0f9c62,"Polygons delimiting the watershed group boundary, which is a collections of drainage areas.  In-land groups will contain a single polygon, coastal groups may contain multiple polygons (one for each island)"
whse_basemapping.fwa_wetlands_poly,https://catalogue.data.gov.bc.ca/dataset/93b413d8-1840-4770-9629-641d74bd1cc6,All wetland polygons for the province
whse_basemapping.gba_railway_tracks_sp,https://catalogue.data.gov.bc.ca/dataset/4ff93cda-9f58-4055-a372-98c22d04a9f8,This layer contains railway tracks within BC from GeoBase's National Railway Network (NRWN) dataset.
whse_basemapping.gba_transmission_lines_sp,https://catalogue.data.gov.bc.ca/dataset/384d551b-dee1-4df8-8148-b3fcf865096a,"High voltage electrical transmission lines for distributing power throughout the province. Lines were derived from several data sources representing unique inventories: BC Hydro, Private, Independent Power Producers, and Terrain Resource Information Management (TRIM).

Voltage information is not currently available on the public version of this dataset as per publication agreement with BC Hydro."
whse_basemapping.transport_line,NA,NA
whse_basemapping.utmg_utm_zones_sp,https://catalogue.data.gov.bc.ca/dataset/fc999f51-306a-4adf-9b19-63b2d3c38348,"Portions of Universal Transverse Mercator Zones 7 - 12 which cover British Columbia, Northern Hemisphere only, formed into polygons, in BC Albers projection"
whse_cadastre.pmbc_parcel_fabric_poly_svw,https://catalogue.data.gov.bc.ca/dataset/4cf233c2-f020-4f7a-9b87-1923252fbc24,"ParcelMap BC is the current, complete and trusted mapped representation of titled and Crown land parcels across British Columbia, considered to be the point of truth for the graphical representation of property boundaries. It is not the authoritative source for the legal property boundary or related records attributes; this will always be the plan of survey or the related registry information. This particular dataset is a subset of the complete ParcelMap BC data and is comprised of the parcel fabric and attributes for over two million parcels published under the Open Government Licence - British Columbia.

Notes: 

1. Parcel title information is sourced from the BC Land Title Register.  Title questions should be directed to a local [Land Title Office](https://ltsa.ca/land-title-office-locations).

2. This dataset replaces the [Integrated Cadastral Fabric](https://catalogue.data.gov.bc.ca/dataset/7eb82072-8c74-4fce-9934-349b545fdc21).
"
whse_environmental_monitoring.envcan_hydrometric_stn_sp,https://catalogue.data.gov.bc.ca/dataset/4c169515-6c41-4f6a-bd30-19a1f45cad1f,BC active and discontinued hydrometric stations (surface water level and flow data) that are part of the provincial hydrometric network managed under a national program jointly administered under a federal-provincial cost-sharing agreement with Environment and Climate Change Canada (ECCC).
whse_fish.fiss_obstacles_pnt_sp,https://catalogue.data.gov.bc.ca/dataset/35bbac7c-2e2f-4587-9108-f4aa1e862809,"The Provincial Obstacles to Fish Passage theme presents records of all known obstacles to fish passage from several fisheries datasets. Records from the following datasets have been included: The Fisheries Information Summary System (FISS); the Fish Habitat Inventory and Information Program (FHIIP); the Field Data Information System (FDIS) and the Resource Analysis Branch (RAB) inventory studies. The main intent of this layer is to have a single layer of all known obstacles to fish passage. It is important to note that not all waterbodies have been studied and, not all lengths of many waterbodies have been studied so there are a very high number of obstacles in the real world that are not recorded in this dataset. This layer simply reports the obstacles to fish that are known.  It is also very important to note that we are acknowledging these features as obstacles to fish passage versus barriers to fish passage.  This is because an obstacle may be a barrier at one time of year but not at other times depending on the volume of water present and also, what is a barrier to one species of fish is not necessarily a barrier to another species."
whse_fish.fiss_stream_sample_sites_sp,https://catalogue.data.gov.bc.ca/dataset/e616864b-8991-42d1-a2f9-4d4402c32be8,"This spatial layer displays stream inventory sample sites that have had full or partial surveys, and contains measurements or indicator information of the data collected at each survey site on each date."
whse_fish.pscis_assessment_svw,https://catalogue.data.gov.bc.ca/dataset/7ecfafa6-5e18-48cd-8d9b-eae5b5ea2881,"Points where a fish passage assessment has been performed on a stream crossing structure.  These includes culverts, bridges, fords, etc.  The assessments are carried out to determine whether fish are able to migrate through the structure."
whse_fish.pscis_design_proposal_svw,https://catalogue.data.gov.bc.ca/dataset/0c9df95f-a2da-4a7d-b9cb-fea3e8926661,"Points where a fish passage assessment has been performed on a stream crossing structure and found to be a failure.  Design points have been identified as a priority for remediation based on a variety of potential criteria: quality of habitat upstream, quantity of fish habitat upstream, number and importance of species present, operational plans for the road cost of the proposed remediation, etc. They are sites where the amount of habitat to be gained by remediation has been confirmed and where a design has actually been completed."
whse_fish.pscis_habitat_confirmation_svw,https://catalogue.data.gov.bc.ca/dataset/572595ab-0a25-452a-a857-1b6bb9c30495,"Points where an evaluation of the fish habitat up and downstream of a road crossing have been carried out.  Phase 2 of 4 in the Fish Passage Workflow, Habitat Confirmations are done at sites where the crossing structure is known to be a failure.  The Habitat Confirmation is performed to ensure that the site in question is a good candidate for moving on to the Design (Phase 3) and Remediation (Phase 4) stages of the workflow.  The Habitat Confirmation confirms the crossing is a barrier, places the crossing in context with respect to other roads and crossings in the watershed and also quantifies and qualifies how much habitat will be gained if the site is fixed.  
"
whse_fish.pscis_remediation_svw,https://catalogue.data.gov.bc.ca/dataset/1596afbf-f427-4f26-9bca-d78bceddf485,"Points where a barrier to fish passage has been rectified or remediated. This is the third phase in the process and can only follow after  1. An assessment has been performed on a stream crossing structure and has found that structure to be a barrier to fish passage.  2. The site has been identified as a priority for remediation based on a variety of potential criteria: quality of habitat upstream, quantity of fish habitat upstream, number and importance of species present, operational plans for the road, cost of the proposed remediation, etc.  3. a design has been created for the site"
