"id","stream_name","habitat_value","map_link","image_view_url","pscis_status","barrier_status","barriers_bt_dnstr","bt_network_km","bt_stream_km","bt_lakereservoir_ha","bt_wetland_ha","bt_slopeclass03_waterbodies_km","bt_slopeclass03_km","bt_slopeclass05_km","bt_slopeclass08_km","bt_slopeclass15_km","bt_spawning_km","bt_rearing_km","bt_spawning_belowupstrbarriers_km","bt_rearing_belowupstrbarriers_km","utm_easting","utm_northing","gradient_gis","road_name","outlet_drop","channel_width","assessment_comment","watershed_group_code","geometry"
"1002200002","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","24.35","21.83","0","0","2.21","4.91","3.65","3.23","9.78","1.85","4.68","0.73","1.74","497881","6093688","0.0358","","","","","CARP","[object Object]"
"1002200012","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","6.99","6.22","0","0","0.69","1.57","1.52","2.23","0.81","0","1.13","0","0.21","505036","6083591","0.0403","","","","","CARP","[object Object]"
"1002200022","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093O.103.pdf","","","POTENTIAL","{}","3.6","3.6","0","0","0","0.22","0","2.16","1.22","0.22","1.17","0.22","0.22","499214","6104889","0.0147","","","","","CARP","[object Object]"
"1002200023","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093O.103.pdf","","","POTENTIAL","{}","10.47","10.02","0","0","0.45","2.3","1.11","4.73","1.75","1.9","3.08","1.42","2.6","497847","6098592","0.0418","","","","","CARP","[object Object]"
"1002200024","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093O.103.pdf","","","POTENTIAL","{}","3.96","3.96","0","0","0","0.41","0.58","1.58","1.4","0","1.45","0","1.45","498142","6099441","0.0581","","","","","CARP","[object Object]"
"1002200026","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","14.49","13.28","0","0","1.03","1.8","4.6","3.79","3.27","3.24","4.92","2.14","2.29","503364","6085983","0.0132","","","","","CARP","[object Object]"
"1002200031","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093O.103.pdf","","","POTENTIAL","{}","8.38","5.16","0","0","3.16","3.78","1.38","0.06","0","1.93","3","0.77","0.77","496099","6105297","0.0082","","","","","CARP","[object Object]"
"1002200067","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093O.103.pdf","","","POTENTIAL","{}","5.67","5.29","0","0","0.38","2.45","0.44","0.45","1.95","0","1.03","0","0.15","497800","6095908","0.0135","","","","","CARP","[object Object]"
"1002200071","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093O.103.pdf","","","POTENTIAL","{}","9.91","7.21","0","0","2.7","5.24","1.97","0","0","0.7","4.25","0.7","4.25","497217","6097129","0","","","","","CARP","[object Object]"
"1002200072","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093O.103.pdf","","","POTENTIAL","{}","173.16","132.18","0","0","39.14","50.34","27.33","38.71","15.43","27.68","50.73","14.76","22.69","497071","6098102","0.0019","","","","","CARP","[object Object]"
"1002200108","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","34.19","33.3","0","0","0.83","8.32","9.19","9.35","6.45","4.85","8.24","0.12","0.12","506448","6080472","0.0042","","","","","CARP","[object Object]"
"1002200114","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","36.14","30.79","0","0","5.21","8.43","6.92","8.31","7.17","7.37","9.78","0.09","0.08","503815","6084239","0.0024","","","","","CARP","[object Object]"
"1002200152","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093O.103.pdf","","","POTENTIAL","{}","32.34","20.32","0","0","11.38","8.41","5.86","4.51","2.19","4.13","9.87","3.19","3.77","495774","6099086","0.0083","","","","","CARP","[object Object]"
"1002200301","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","19.11","17.94","0","0","1.03","5.5","3.29","3.32","4.69","2.45","3.3","0.11","0.11","490978","6075926","0.0242","","","","","CARP","[object Object]"
"1002200310","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","152.59","128.35","0","0","23.41","36.21","27.73","42.59","20.25","9.71","22.11","3.05","9.25","495091","6075167","0.0092","","","","","CARP","[object Object]"
"1002200533","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093O.103.pdf","","","POTENTIAL","{}","108.52","80.22","0","0","26.57","22.57","20.74","22.77","15.24","11.04","23.23","4.93","10.15","492394","6107989","0.1721","","","","","CARP","[object Object]"
"1002200604","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","9.5","8.87","0","0","0.35","1.16","2.59","3.12","1.37","0","0.64","0","0.64","501970","6087814","0.0356","","","","","CARP","[object Object]"
"1002200610","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","12.24","11.83","0","0","0.41","1.15","4.41","3.29","2.84","1.26","1.96","0.1","0.09","507402","6078546","0.0235","","","","","CARP","[object Object]"
"1002200721","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","11.2","8.61","0","0","2.55","3.46","1.72","2.36","1.11","1.07","2.49","0.8","0.8","494798","6076935","0.0463","","","","","CARP","[object Object]"
"1002200779","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","87.63","81.65","0","0","5.48","11.43","17.95","22.18","27.34","12.44","18.81","7.3","7.9","500641","6089777","0.0241","","","","","CARP","[object Object]"
"1002200820","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","14.57","13.49","0","0","1.09","6.33","2.3","4.32","0.47","3.47","4.23","3.47","4.23","497859","6080557","0.0322","","","","","CARP","[object Object]"
"1002200942","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","104.27","83.7","0","0","18.69","16.37","21.59","27.04","18.93","7.05","18.94","7.05","17.46","490168","6090081","0.0224","","","","","CARP","[object Object]"
"1002201294","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.122.pdf","","","POTENTIAL","{}","142.19","112.72","0","0","27.27","26.06","19.08","32.22","33.18","15.66","35.95","9.69","23.55","468011","6082331","0","","","","","CARP","[object Object]"
"1002201302","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","127","100.62","0","0","24.6","45.12","31.19","21.49","4.35","8.25","28.31","0.62","2.88","497788","6080450","0.0027","","","","","CARP","[object Object]"
"1002201497","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.122.pdf","","","POTENTIAL","{}","14.64","8.15","0","0","6.28","3.67","2.34","1.44","0.91","0.21","1.77","0.21","1.77","485865","6082583","0.0197","","","","","CARP","[object Object]"
"1002201549","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.122.pdf","","","POTENTIAL","{}","29.17","24.86","0","0","2.96","2.86","4.97","5.36","10.22","5.95","8.49","3.45","4.52","468992","6091696","0.0237","","","","","CARP","[object Object]"
"1002201560","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.122.pdf","","","POTENTIAL","{}","88.52","70.73","0","0","15.51","7.71","13.9","24.39","25.48","4.81","15.08","2.98","10.85","470051","6087622","0","","","","","CARP","[object Object]"
"1002201585","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.122.pdf","","","POTENTIAL","{}","53.97","47.89","0","0","5.24","8.51","12.99","10.62","15.79","7.96","11.21","5.22","6.59","481312","6083369","0.0203","","","","","CARP","[object Object]"
"1002201723","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","35.29","24.88","0","0","10.21","9.79","7.32","6.04","1.92","1.64","6.41","1.64","5.68","493954","6075372","0.0041","","","","","CARP","[object Object]"
"1002201739","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","25.22","22.51","0","0","2.71","5.12","3.95","5.84","7.48","1.68","2.29","0.07","0.08","491694","6075172","0.0294","","","","","CARP","[object Object]"
"1002201919","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.122.pdf","","","POTENTIAL","{}","15.31","13.32","0","0","1.79","6.14","2.18","3.47","1.66","2.53","5.4","2.53","4.39","467687","6085435","0.051","","","","","CARP","[object Object]"
"1002202016","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.122.pdf","","","POTENTIAL","{}","191.87","162.99","0","0","26.17","18.24","24.8","53.84","59.24","18.1","47.12","11.35","25.69","479503","6093442","0.0064","","","","","CARP","[object Object]"
"1002202118","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","65.79","57.04","0","0","7.8","12.5","18.46","17.55","9.29","7.2","13.55","7.2","13.55","494610","6087127","0.0116","","","","","CARP","[object Object]"
"1002202121","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.123.pdf","","","POTENTIAL","{}","20.18","18.39","0","0","1.79","3.45","7.46","6.61","0.87","1.33","3.13","1.33","3.13","495575","6084470","0.0516","","","","","CARP","[object Object]"
"1002202128","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.122.pdf","","","POTENTIAL","{}","7.21","7.21","0","0","0","0.02","0.72","0.6","4.17","0","0.53","0","0.53","479736","6086934","0.0571","","","","","CARP","[object Object]"
"1003700002","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.114.pdf","","","POTENTIAL","{}","19.37","15.92","0","0","3.24","3.43","3.59","3.87","4.88","1.03","3.69","0.02","0.17","519651","6041047","0.0055","","","","","CRKD","[object Object]"
"1003700009","","","https://hillcrestgeo.ca/outgoing/fishpassage/projects/parsnip/archive/2022-05-27/FishPassage_093J.119.pdf","","","POTENTIAL","{}","9.34","9.03","0","0","0.31","3.39","4.21","0.84","0.59","0","1.67","0","0.12","519282","6053039","0.025","","","","","CRKD","[object Object]"
